Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,C,23,TOR,47,11,1004,161,340,0.474,21,85,0.247,140,255,0.549,0.504,81,116,0.698,86,194,280,46,26,27,52,92,424,achiupr01
2,Steven Adams,C,29,MEM,42,42,1133,157,263,0.597,0,1,0,157,262,0.599,0.597,47,129,0.364,214,271,485,97,36,46,79,98,361,adamsst01
3,Bam Adebayo,C,25,MIA,68,68,2389,563,1037,0.543,1,12,0.083,562,1025,0.548,0.543,305,380,0.803,165,471,636,223,81,59,176,195,1432,adebaba01
4,Ochai Agbaji,SG,22,UTA,48,11,878,112,245,0.457,60,157,0.382,52,88,0.591,0.58,29,38,0.763,33,57,90,37,12,8,23,76,313,agbajoc01
5,Santi Aldama,PF,22,MEM,68,18,1495,225,480,0.469,86,247,0.348,139,233,0.597,0.558,95,129,0.736,76,248,324,85,39,45,50,129,631,aldamsa01
6,Nickeil Alexander-Walker,SG,24,TOT,50,3,778,118,262,0.45,52,137,0.38,66,125,0.528,0.55,38,57,0.667,13,77,90,99,30,19,52,77,326,alexani01
6,Nickeil Alexander-Walker,SG,24,UTA,36,3,528,83,170,0.488,35,87,0.402,48,83,0.578,0.591,27,39,0.692,8,51,59,76,24,14,45,58,228,alexani01
6,Nickeil Alexander-Walker,SG,24,MIN,14,0,250,35,92,0.38,17,50,0.34,18,42,0.429,0.473,11,18,0.611,5,26,31,23,6,5,7,19,98,alexani01
7,Grayson Allen,SG,27,MIL,65,63,1809,226,512,0.441,133,334,0.398,93,178,0.522,0.571,104,115,0.904,57,159,216,150,52,12,68,109,689,allengr01
8,Jarrett Allen,C,24,CLE,63,63,2083,376,583,0.645,1,9,0.111,375,574,0.653,0.646,149,205,0.727,201,421,622,105,51,77,88,144,902,allenja01
9,Jose Alvarado,PG,24,NOP,61,10,1310,201,489,0.411,83,247,0.336,118,242,0.488,0.496,65,80,0.813,28,113,141,186,67,10,81,125,550,alvarjo01
10,Kyle Anderson,PF,29,MIN,60,44,1665,210,415,0.506,36,86,0.419,174,329,0.529,0.549,96,130,0.738,53,264,317,277,67,53,88,131,552,anderky01
11,Giannis Antetokounmpo,PF,28,MIL,56,56,1820,623,1142,0.546,45,156,0.288,578,986,0.586,0.565,459,707,0.649,126,538,664,312,41,45,219,179,1750,antetgi01
12,Thanasis Antetokounmpo,SF,30,MIL,28,0,112,6,22,0.273,0,5,0,6,17,0.353,0.273,4,8,0.5,9,19,28,4,2,3,8,13,16,antetth01
13,Cole Anthony,PG,22,ORL,53,3,1355,235,529,0.444,63,180,0.35,172,349,0.493,0.504,137,154,0.89,40,205,245,208,33,28,79,139,670,anthoco01
14,OG Anunoby,SF,25,TOR,58,58,2072,361,760,0.475,118,305,0.387,243,455,0.534,0.553,133,159,0.836,82,212,294,110,114,42,125,176,973,anunoog01
15,Ryan Arcidiacono,PG,28,TOT,16,1,87,6,17,0.353,5,10,0.5,1,7,0.143,0.5,0,0,,0,11,11,9,3,0,4,11,17,arcidry01
15,Ryan Arcidiacono,PG,28,POR,5,1,61,5,12,0.417,4,7,0.571,1,5,0.2,0.583,0,0,,0,7,7,7,1,0,3,8,14,arcidry01
